Data;Servico;Midia;Tipo;competencia;Agencia;NF;Subcontratado;NF; Bruto PI ; Bruto PUP ; Comisao/B. Calculo ; IR ; ISS ; Liquido ;PP;Data Pagt;RPP;RPNP;local;Data;Relatorio;Campanha;situacao;
05/05/2017;veiculacao;Radio;normal;mar/17;Propeg;30393;TransamÇrica Fm;161;5.731,21;;904,93;13,57;45,25;5.672,39;21;13/06/2017; nao ; nao ; coorfin ;12/05/2017;7;Rumo Certo - Educacao;pago;
05/05/2017;producao;Hotsite;normal;fev/17;Propeg;30328;2 Mobile Marketing;239;17.890,00;;17.890,00;;894,5;16.995,50;19;13/06/2017; nao ; nao ; coorfin ;12/05/2017;8;Rumo Certo - Educacao;pago;
05/05/2017;producao;Banner;normal;fev/17;Propeg;30369;K3 Comunicacao;45;7.800,00;;7.800,00;;390;7.410,00;19;13/06/2017; nao ; nao ; coorfin ;12/05/2017;8;Rumo Certo - Educacao;pago;
05/05/2017;producao;Spot;normal;fev/17;Propeg;30322;Teolane Correia;606515;9.000,00;;;;;9.000,00;19;13/06/2017; nao ; nao ; coorfin ;12/05/2017;8;Rumo Certo - Educacao;pago;
05/04/2017;veiculacao;TV;normal;mar/17;Binder;17;SBT;36230;;143.893,70;22.720,06;340,8;1.136,00;142.416,90;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
07/04/2017;veiculacao;Radio;normal;fev/17;Binder;18156;JK Fm;90/001;;13.119,12;2.071,44;31,07;103,57;12.984,48;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
07/04/2017;veiculacao;Internet;Alternativo;fev/17;Binder;18192;site emicles.blogspot.com.br;130;;5.987,85;945,45;14,18;47,27;5.926,40;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
07/04/2017;veiculacao;Internet;Alternativo;fev/17;Binder;18193;Site guiabhr.com.br;64;;4.678,11;738,65;11,08;36,93;4.630,10;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
07/04/2017;veiculacao;Internet;Alternativo;fev/17;Binder;18189;Site jornaldodf.com.br;36;;13.376,00;2.112,00;31,68;105,6;13.238,72;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
10/04/2017;veiculacao;Jornal;normal;mar/17;Binder;39;Destak;3309;;48.307,07;7.627,43;114,41;381,37;47.811,29;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
10/04/2017;veiculacao;TV;normal;mar/17;Binder;37;Gànesis;1006;;10.807,58;1.706,46;25,6;85,32;10.696,66;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
10/04/2017;veiculacao;Internet;Alternativo;mar/17;Binder;38;Site aovivodebrasilia.com.br;347;;3.364,90;531,3;7,97;26,57;3.330,36;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
13/04/2017;veiculacao;Internet;Alternativo;fev/17;Binder;18247;Blog do Callado;49;;8.009,86;1.264,72;18,97;63,24;7.927,65;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
13/04/2017;veiculacao;Internet;Alternativo;fev/17;Binder;18301;site ceilandiaemalerta.com.br;30;;3.913,52;617,92;9,27;30,9;3.873,35;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
13/04/2017;veiculacao;Internet;Alternativo;fev/17;Binder;18304;Site folhaevangelica16anos.blogspot.com;220;;3.483,34;550;8,25;27,5;3.447,59;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
13/04/2017;veiculacao;Internet;Alternativo;fev/17;Binder;18191;Site gpsbrasilia.com.br;525;;5.660,42;893,75;13,41;44,69;5.602,32;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;veiculacao;Radio;normal;fev/17;Binder;18302;Clube Fm;24294;;21.564,62;3.404,94;51,07;170,25;21.343,30;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
17/04/2017;veiculacao;Radio;normal;mar/17;Binder;99;Clube Fm;24368;;16.182,38;2.555,12;38,33;127,76;16.016,29;26;13/06/2017; nao ; nao ; coorfin ;15/05/2017;9;Uso Racional da agua 2;pago;
